cellID,IgM,IgD,IgG,IgE,IgA,Subset,Isotype
235sc208,1,0,9,0,61,P,A
235sc209,0,0,6,0,7,P,A
235sc210,0,0,15,0,0,P,G
235sc211,0,0,9,0,1,P,G
235sc212,1,0,0,0,0,N,M
235sc213,0,0,0,0,0,N/D,unknown
235sc214,0,0,0,0,2,D,A
235sc215,2,0,2,0,5,D,A
235sc216,3,0,2,0,25,P,A
235sc217,2,0,1,0,109,P,A
235sc218,1,0,0,0,44,P,A
235sc219,0,0,24,0,1,P,G
235sc220,3,0,0,0,2,N,M
235sc221,3,0,0,0,2,N,M
235sc222,0,2,0,0,1,N,D
235sc223,0,0,0,0,0,N/D,unknown
235sc224,0,0,0,0,2,P,A
235sc225,0,0,2,0,16,P,A
235sc226,0,0,121,0,1,P,G
235sc227,11,0,0,0,4,P,M
235sc228,0,0,2,0,2,D,A
235sc229,0,0,0,0,0,N/D,unknown
235sc230,0,0,1,0,0,D,G
235sc231,0,0,0,0,0,N/D,unknown
235sc232,0,0,77,0,0,P,G
235sc233,0,0,27,0,3,P,G
235sc234,0,49,1,0,17,P,D
235sc235,51,0,0,0,247,P,A
235sc236,0,0,0,0,0,N/D,unknown
235sc237,3,0,6,0,0,D,G
235sc238,0,0,1,0,0,D,G
235sc239,0,2,1,0,0,N,D
235sc240,0,0,22,0,32,P,A
235sc241,290,0,0,0,4,P,M
235sc242,1,0,1,0,20,P,A
235sc243,0,0,28,0,54,P,A
235sc244,0,0,1,0,4,D,A
235sc245,0,0,0,0,2,D,A
235sc246,0,0,0,0,1,D,A
235sc247,1,0,0,0,0,N,M
235sc248,0,0,0,0,3,P,A
235sc249,0,0,104,1,2,P,G
235sc250,0,0,0,0,1,P,A
235sc251,0,0,7,0,0,P,G
235sc252,0,0,4,0,0,D,G
235sc253,3,0,11,0,0,D,G
235sc254,0,0,1,0,0,D,G
235sc255,1,0,0,0,2,D,A
235sc256,0,0,27,0,7,P,G
235sc257,0,0,76,0,0,P,G
235sc258,19,0,86,0,3,P,G
235sc259,0,0,5,0,0,P,G
235sc260,0,0,0,0,0,N/D,unknown
235sc261,1,0,0,0,0,N,M
235sc262,0,0,1,0,1,D,A
235sc263,0,0,1,0,0,D,G
235sc264,0,0,2,0,2,P,A
235sc265,1,0,18,0,9,P,G
235sc266,0,0,8,0,5,P,G
235sc267,0,0,1,0,0,P,G
235sc268,1,0,1,0,5,D,A
235sc269,0,1,0,0,0,N,D
235sc270,0,0,0,0,0,N/D,unknown
235sc271,0,0,2,0,0,D,G
235sc272,0,0,108,0,1,P,G
235sc273,0,0,1,0,76,P,A
235sc274,0,0,10,0,6,P,G
235sc275,0,0,4,0,32,P,A
235sc276,0,0,3,0,6,D,A
235sc277,8,0,4,0,3,N,M
235sc278,0,0,0,0,0,N/D,unknown
235sc279,0,0,7,0,4,D,G
235sc280,0,0,38,0,375,P,A
235sc281,128,0,406,0,0,P,G
235sc282,13,1,1,0,122,P,A
235sc283,0,0,73,0,240,P,A
235sc284,1,0,0,0,2,D,A
235sc285,2,0,15,0,1,D,G
235sc286,0,0,0,0,1,D,A
235sc287,0,3,7,0,1,D,G
235sc288,0,0,280,0,3,P,G
235sc289,0,0,11,0,277,P,A
235sc290,0,0,0,0,99,P,A
235sc291,0,0,0,0,43,P,A
235sc292,0,0,6,0,3,D,G
235sc293,1,0,0,0,2,D,A
235sc294,0,0,1,0,0,D,G
235sc296,0,0,14,0,3,P,G
235sc297,0,0,12,0,1,P,G
235sc298,0,14,0,0,56,P,A
235sc299,11,0,17,0,2,P,G
235sc300,0,0,0,0,0,N/D,unknown
235sc301,1,0,0,0,0,N,M
235sc302,2,0,0,0,1,N,M
235sc304,1,0,3,0,0,M,G
235sc305,0,0,0,0,4,M,A
235sc306,0,0,0,0,0,M,unknown
235sc307,0,0,0,0,0,M,unknown
