cellID,IgM,IgD,IgG,IgE,IgA
59a208,11,64,0,0,0
59a209,0,0,0,0,0
59a210,1,0,0,0,0
59a211,0,0,0,0,0
59a212,0,0,0,0,0
59a213,0,0,0,0,0
59a214,0,0,0,0,0
59a215,0,0,0,0,0
59a216,0,6,0,0,0
59a217,0,0,1,0,0
59a218,0,5,0,0,0
59a219,3,0,0,0,0
59a220,58,1,0,0,0
59a221,0,92,0,0,0
59a222,5,0,1,0,0
59a223,0,0,0,0,0
59a224,0,0,0,0,0
59a225,0,0,0,0,0
59a226,48,22,0,0,0
59a227,11,0,0,0,0
59a228,0,0,0,0,0
59a229,4,0,0,0,0
59a230,0,8,0,0,0
59a231,52,0,0,0,0
59a232,0,0,0,0,0
59a233,10,96,0,0,0
59a234,27,0,0,0,16
59a235,0,0,0,0,0
59a236,116,0,0,0,0
59a237,0,0,0,0,0
59a238,1,0,0,0,0
59a239,350,6,0,0,0
59a240,0,0,0,0,0
59a241,0,60,0,0,0
59a242,0,0,0,0,0
59a243,57,0,0,0,0
59a244,0,0,0,0,0
59a245,0,0,0,0,0
59a246,0,0,0,0,0
59a247,33,89,0,0,0
59a248,0,0,0,0,0
59a249,27,0,0,0,0
59a250,0,0,0,0,0
59a251,5,0,0,0,0
59a252,60,14,0,0,0
59a253,0,549,0,0,0
59a254,0,0,0,0,0
59a255,0,0,0,0,0
59a256,0,74,0,0,0
59a257,0,0,0,0,0
59a258,4,0,1,0,0
59a259,0,1,0,0,0
59a260,0,0,0,0,0
59a261,0,0,0,0,0
59a262,0,1,0,0,0
59a263,0,0,0,0,0
59a264,0,0,0,0,0
59a265,35,142,1,0,0
59a266,0,2,0,0,0
59a267,0,0,0,0,0
59a268,0,0,0,0,0
59a269,2,0,0,0,0
59a270,0,0,0,0,10
59a271,27,0,0,0,0
59a272,0,0,0,0,0
59a273,0,0,0,0,0
59a274,0,0,0,0,0
59a275,0,0,0,0,0
59a276,77,0,0,0,0
59a277,67,1,0,0,0
59a278,1,0,0,0,0
59a279,34,0,0,0,0
59a280,0,0,0,0,0
59a281,389,64,0,0,0
59a282,0,1,0,0,0
59a283,1,0,0,0,0
59a284,4,0,0,0,0
59a285,39,0,0,0,0
59a286,0,0,0,0,0
59a288,22,0,0,0,0
59a289,1,90,22,0,0
59a290,0,0,0,0,0
59a291,169,1,0,0,0
59a292,0,0,0,0,0
59a293,0,0,0,0,0
59a294,0,0,0,0,0
59a296,0,0,46,0,0
59a297,3,0,0,0,0
59a298,202,11,0,0,0
59a299,94,103,0,0,0
59a300,0,0,0,0,0
59a301,18,0,0,0,0
59a302,210,257,0,0,0
59a304,0,0,0,0,0
59a305,0,0,0,0,0
59a306,0,0,0,0,0
59a307,0,1,0,0,0
59a308,0,0,0,0,0
59a309,0,0,0,0,0
59a310,0,0,0,0,0
59a311,0,0,0,0,0
59a312,0,0,0,0,0
59a313,4,0,0,0,0
59a314,0,0,0,0,0
59a315,2,0,0,0,0
59a316,0,0,0,0,0
59a317,0,0,0,0,0
59a318,0,0,54,0,0
59a319,0,0,0,0,0
59a320,0,0,0,0,0
59a321,0,3,0,0,0
59a322,0,0,0,0,0
59a323,4,0,0,0,0
59a324,0,0,2,0,0
59a325,0,0,0,0,0
59a326,0,0,0,0,0
59a327,0,0,0,0,0
59a328,0,0,0,0,0
59a329,5,0,0,0,0
59a330,0,0,0,0,0
59a331,0,0,0,0,0
59a332,6,12,0,0,0
59a333,0,0,0,0,0
59a334,0,0,0,0,0
59a335,0,0,0,0,0
59a336,0,0,0,0,0
59a337,0,1,0,0,0
59a338,0,1,0,0,0
59a339,1,0,0,0,0
59a340,1,0,0,0,0
59a341,0,0,0,0,0
59a342,0,0,0,0,0
59a343,0,7,0,0,0
59a344,1,0,0,0,0
59a345,0,0,0,0,0
59a346,0,0,0,0,0
59a347,0,1,0,0,0
59a348,0,0,0,0,0
59a349,0,0,0,0,0
59a350,0,0,1,0,0
59a351,9,0,0,0,0
59a352,0,0,0,0,0
59a353,0,0,5,0,0
59a354,0,0,0,0,0
59a355,0,0,0,0,0
59a356,0,0,0,0,0
59a357,6,2,0,0,0
59a358,0,0,0,0,0
59a359,0,1,0,0,0
59a360,0,0,0,0,0
59a361,0,0,0,0,0
59a362,0,0,0,0,0
59a363,0,0,0,0,0
59a364,1,1,0,0,0
59a365,0,0,0,0,0
59a366,0,0,0,0,0
59a367,0,0,0,0,0
59a368,0,1,0,0,0
59a369,0,0,0,0,0
59a370,0,0,0,0,0
59a371,0,0,0,0,0
59a372,59,3,0,0,0
59a373,0,0,0,0,0
59a374,0,1,0,0,0
59a375,2,0,0,0,0
59a376,0,1,0,0,0
59a377,0,0,0,0,0
59a378,0,0,0,0,0
59a379,7,0,0,0,0
59a380,0,0,0,0,0
59a381,0,0,0,0,0
59a382,0,4,1,0,0
59a384,3,0,0,0,0
59a385,0,0,0,0,0
59a386,0,0,0,0,0
59a387,0,1,0,0,0
59a388,3,2,1,0,11
59a389,0,0,0,0,0
59a390,0,0,0,0,0
59a392,23,0,0,0,0
59a393,0,0,0,0,0
59a394,0,0,0,0,0
59a395,0,5,0,0,0
59a396,1,0,0,0,0
59a397,0,0,0,0,0
59a398,0,1,0,0,0
