cellID,IgM,IgD,IgG,IgE,IgA
59r208,15,0,0,0,0
59r209,0,0,0,0,0
59r210,22,0,0,0,0
59r211,0,0,0,0,0
59r212,0,0,0,0,0
59r213,0,0,0,0,0
59r214,0,0,0,0,0
59r215,0,0,2,0,0
59r216,0,0,0,0,0
59r217,0,0,0,0,0
59r218,0,0,0,0,2
59r219,0,0,0,0,0
59r220,0,0,4,0,0
59r221,0,0,0,0,0
59r222,8,0,4,0,22
59r223,1,0,0,0,0
59r224,0,0,0,0,0
59r225,2,0,1,0,0
59r226,3,0,0,0,0
59r227,0,0,0,0,0
59r228,0,0,76,0,0
59r229,7,0,0,0,0
59r230,0,0,0,0,0
59r231,23,0,0,0,0
59r232,0,0,0,0,0
59r233,0,0,0,0,0
59r234,9,13,7,0,31
59r235,0,0,0,0,0
59r236,0,0,27,0,16
59r237,0,0,0,0,0
59r238,0,0,5,0,0
59r239,0,111,25,0,0
59r240,0,0,0,0,0
59r241,2,7,0,0,0
59r242,0,0,0,0,0
59r243,0,0,0,0,45
59r244,0,0,0,0,0
59r245,0,0,0,0,0
59r246,0,0,0,0,0
59r247,10,0,0,0,0
59r248,0,0,0,0,0
59r249,0,0,0,0,0
59r250,0,0,0,0,0
59r251,0,0,11,0,0
59r252,8,0,0,0,0
59r253,8,0,0,0,0
59r254,0,2,0,0,0
59r255,8,0,0,0,0
59r256,7,0,9,0,0
59r257,0,0,0,0,0
59r258,0,0,0,0,0
59r259,6,0,0,0,0
59r260,6,0,0,0,38
59r261,0,0,0,0,0
59r262,26,5,2,0,0
59r263,0,0,0,0,0
59r264,0,0,0,0,0
59r265,0,0,0,0,0
59r266,35,0,0,0,0
59r267,46,0,0,0,0
59r268,0,1,0,0,0
59r269,0,8,0,0,0
59r270,0,0,12,0,7
59r271,36,0,0,0,0
59r272,0,0,0,0,0
59r273,30,10,0,0,0
59r274,30,0,0,0,0
59r275,0,0,0,0,0
59r276,2,5,0,0,0
59r277,4,13,0,0,5
59r278,0,0,0,0,0
59r279,9,0,0,0,0
59r280,4,0,0,0,0
59r281,2,6,6,0,0
59r282,0,0,0,0,0
59r283,0,0,0,0,3
59r284,5,0,0,0,0
59r285,20,0,0,0,0
59r286,1,0,0,0,0
59r288,0,0,0,0,0
59r289,0,0,0,0,0
59r290,30,10,0,0,0
59r291,0,0,0,0,1
59r292,17,21,0,0,0
59r293,0,0,0,0,0
59r294,0,0,0,0,0
59r296,1,0,0,0,0
59r297,0,0,0,0,0
59r298,4,1,0,0,0
59r299,4,0,0,0,0
59r300,0,0,0,0,0
59r301,5,0,0,0,0
59r302,33,24,0,0,0
59r304,0,0,0,0,0
59r305,0,0,0,0,0
59r306,0,0,0,0,0
59r307,0,0,0,0,0
59r308,1,0,0,0,0
59r309,0,0,0,0,0
59r310,0,0,0,0,0
59r311,0,0,0,0,0
59r312,0,0,1,0,0
59r313,8,0,0,0,0
59r314,0,0,0,0,0
59r315,0,0,0,0,0
59r316,0,0,0,0,0
59r317,0,0,0,0,0
59r318,0,0,9,0,0
59r319,0,0,0,0,0
59r320,0,0,0,0,0
59r321,1,0,0,0,0
59r322,0,0,0,0,0
59r323,2,0,0,0,0
59r324,0,0,0,0,0
59r325,0,0,0,0,0
59r326,1,1,0,0,0
59r327,0,0,0,0,0
59r328,0,0,0,0,0
59r329,0,0,0,0,0
59r330,0,0,0,0,0
59r331,0,1,0,0,0
59r332,0,0,0,0,0
59r333,0,0,0,0,0
59r334,0,0,0,0,0
59r335,0,0,0,0,0
59r336,0,0,0,0,0
59r337,0,0,0,0,0
59r338,0,0,0,0,0
59r339,0,0,0,0,0
59r340,0,0,0,0,0
59r341,0,0,0,0,0
59r342,0,0,1,0,0
59r343,0,0,0,0,0
59r344,0,0,0,0,0
59r345,2,1,0,0,0
59r346,1,0,0,0,0
59r347,2,0,0,0,0
59r348,1,0,0,0,0
59r349,0,0,0,0,0
59r350,0,0,0,0,0
59r351,3,0,0,0,0
59r352,0,0,0,0,0
59r353,0,0,0,0,0
59r354,0,0,0,0,0
59r355,0,0,0,0,0
59r356,0,0,0,0,0
59r357,0,0,1,0,0
59r358,0,0,0,0,0
59r359,0,0,0,0,0
59r360,0,0,0,0,0
59r361,0,0,0,0,0
59r362,0,0,0,0,0
59r363,0,0,0,0,0
59r364,3,0,0,0,1
59r365,0,0,0,0,0
59r366,0,1,0,0,0
59r367,0,2,0,0,0
59r368,1,0,0,0,0
59r369,0,0,1,0,0
59r370,0,0,0,0,0
59r371,0,0,0,0,0
59r372,1,1,0,0,0
59r373,0,0,0,0,0
59r374,0,0,0,0,0
59r375,0,0,0,0,0
59r376,0,1,0,0,0
59r377,0,0,1,0,0
59r378,0,0,0,0,0
59r379,0,0,0,0,0
59r380,1,0,1,0,0
59r381,0,0,0,0,0
59r382,0,0,0,0,0
59r384,0,0,0,0,0
59r385,0,0,0,0,0
59r386,0,0,0,0,0
59r387,0,0,0,0,0
59r388,0,0,0,0,0
59r389,0,0,0,0,0
59r390,0,0,0,0,0
59r392,0,3,1,0,2
59r393,0,0,0,0,0
59r394,0,0,0,0,0
59r395,0,0,0,0,0
59r396,1,1,0,0,0
59r397,0,0,0,0,0
59r398,0,0,0,0,0
