cellID,IgM,IgD,IgG,IgE,IgA
72c208,0,0,0,0,0
72c209,0,0,0,0,0
72c210,0,0,0,0,0
72c211,0,0,0,0,0
72c212,0,0,0,0,0
72c213,0,0,0,0,0
72c214,0,0,0,0,0
72c215,0,0,0,0,0
72c216,0,0,0,0,0
72c217,43,0,0,0,0
72c218,0,0,0,0,0
72c219,0,0,0,0,0
72c220,0,0,0,0,0
72c221,0,0,0,0,0
72c222,0,0,0,0,0
72c223,0,0,0,0,0
72c224,0,0,0,0,0
72c225,0,0,0,0,0
72c226,0,0,0,0,0
72c227,0,0,0,0,0
72c228,0,0,0,0,0
72c229,0,0,0,0,0
72c230,0,0,0,0,0
72c231,0,0,0,0,0
72c232,0,0,0,0,0
72c233,0,0,0,0,0
72c234,0,0,0,0,0
72c235,0,0,0,0,0
72c236,0,0,0,0,0
72c237,0,0,0,0,0
72c238,0,0,0,0,0
72c239,0,0,0,0,0
72c240,0,0,0,0,0
72c241,0,0,0,0,0
72c242,0,0,0,0,0
72c243,0,0,0,0,0
72c244,0,0,0,0,0
72c245,0,0,0,0,0
72c246,0,0,0,0,0
72c247,0,0,0,0,0
72c248,0,0,0,0,0
72c249,0,0,0,0,0
72c250,0,0,0,0,0
72c251,0,0,0,0,0
72c252,0,0,0,0,0
72c253,0,0,0,0,0
72c254,0,0,0,0,0
72c255,0,0,0,0,0
72c256,0,0,0,0,0
72c257,0,0,0,0,0
72c258,0,0,0,0,0
72c259,0,0,0,0,0
72c260,0,0,0,0,0
72c261,0,0,0,0,0
72c262,0,0,0,0,0
72c263,0,0,0,0,0
72c264,0,0,0,0,0
72c265,0,0,0,0,0
72c266,0,0,0,0,0
72c267,0,0,0,0,0
72c268,0,0,0,0,0
72c269,0,0,0,0,0
72c270,0,0,0,0,0
72c271,0,0,0,0,0
72c272,0,0,0,0,0
72c273,0,0,0,0,0
72c274,0,0,0,0,0
72c275,0,0,0,0,0
72c276,0,0,0,0,0
72c277,0,0,0,0,0
72c278,0,0,0,0,0
72c279,0,0,0,0,0
72c280,0,0,0,0,0
72c281,0,0,0,0,0
72c282,0,0,0,0,0
72c283,0,0,0,0,0
72c284,0,0,0,0,0
72c285,0,0,0,0,0
72c286,0,0,0,0,0
72c288,0,0,0,0,0
72c289,0,0,0,0,0
72c290,0,0,0,0,0
72c291,0,0,0,0,0
72c292,0,0,0,0,0
72c293,0,0,0,0,0
72c294,0,0,0,0,0
72c296,0,0,0,0,0
72c297,0,0,0,0,0
72c298,0,0,0,0,0
72c299,1,0,0,0,0
72c300,0,0,0,0,0
72c301,0,0,0,0,0
72c302,0,0,0,0,0
72c304,0,0,0,0,0
72c305,0,0,0,0,0
72c306,0,0,0,0,0
72c307,0,0,0,0,0
72c308,0,0,0,0,0
72c309,0,0,0,0,0
72c310,0,0,0,0,0
72c311,0,0,0,0,0
72c312,0,0,0,0,0
72c313,43,0,0,0,0
72c314,0,0,0,0,0
72c315,0,0,0,0,0
72c316,0,0,0,0,0
72c317,0,0,0,0,0
72c318,135,43,16,0,0
72c319,0,0,0,0,0
72c320,0,0,0,0,0
72c321,0,0,0,0,0
72c322,0,0,0,0,0
72c323,9,178,0,0,0
72c324,0,12,0,0,0
72c325,0,0,0,0,0
72c326,0,0,0,0,0
72c327,0,0,0,0,0
72c328,0,0,0,0,0
72c329,0,0,0,0,0
72c330,0,0,0,0,0
72c331,0,0,0,0,0
72c332,0,0,0,0,0
72c333,0,0,0,0,0
72c334,1,0,0,0,0
72c335,0,0,0,0,0
72c336,0,0,0,0,0
72c337,0,0,0,0,0
72c338,0,0,0,0,0
72c339,8,0,0,0,0
72c340,0,0,0,0,0
72c341,34,0,0,0,0
72c342,4,0,0,0,0
72c343,0,0,117,0,0
72c344,66,0,0,0,0
72c345,0,1,0,0,0
72c346,0,0,0,0,0
72c347,7,97,2,0,0
72c348,0,0,0,0,0
72c349,0,0,0,0,0
72c350,333,430,0,0,0
72c351,113,0,60,0,81
72c352,0,0,0,0,0
72c353,0,0,0,0,0
72c354,0,0,0,0,0
72c355,0,0,0,0,0
72c356,0,0,0,0,0
72c357,88,18,0,0,0
72c358,0,0,0,0,0
72c359,2,0,0,0,0
72c360,0,0,0,0,0
72c361,61,0,0,0,0
72c362,1,0,0,0,0
72c363,0,0,0,0,0
72c364,0,4,214,0,0
72c365,72,0,0,0,0
72c366,0,0,0,0,0
72c367,0,0,0,0,0
72c368,0,0,1,0,0
72c369,171,27,83,0,0
72c370,0,0,0,0,0
72c371,0,106,0,0,0
72c372,0,0,0,0,0
72c373,15,0,0,0,0
72c374,0,0,0,0,0
72c375,0,0,0,0,0
72c376,0,0,0,0,0
72c377,0,0,0,0,0
72c378,0,0,0,0,0
72c379,128,7,0,0,0
72c380,289,0,0,0,0
72c381,0,0,0,0,0
72c382,0,0,0,0,0
72c384,0,0,0,0,0
72c385,0,0,0,0,0
72c386,0,0,0,0,0
72c387,0,0,0,0,0
72c388,1,63,0,0,0
72c389,0,0,0,0,0
72c390,0,0,0,0,0
72c392,354,1007,2,0,0
72c393,0,0,0,0,0
72c394,1,0,0,0,0
72c395,0,0,0,0,0
72c396,160,1,0,0,0
72c397,0,0,0,0,0
72c398,0,0,0,0,0
