cellID,IgM,IgD,IgG,IgE,IgA
Fa208,0,0,65,0,0
Fa209,0,0,0,0,0
Fa210,0,0,0,0,0
Fa211,0,0,0,0,0
Fa212,0,0,1,0,0
Fa213,0,0,0,0,0
Fa214,0,0,1,0,0
Fa215,0,0,0,0,0
Fa216,0,0,34,0,0
Fa217,0,0,29,0,0
Fa218,0,0,0,0,0
Fa219,0,0,88,0,0
Fa220,0,0,1,0,0
Fa221,0,0,43,0,0
Fa222,0,0,1,0,0
Fa223,0,0,0,0,0
Fa224,0,0,1,0,0
Fa225,0,0,1,0,0
Fa226,0,0,105,0,0
Fa227,0,0,0,0,0
Fa228,0,0,1,0,0
Fa229,0,0,11,0,0
Fa230,0,0,2,0,0
Fa231,0,0,0,0,0
Fa232,42,0,8,0,0
Fa233,0,0,736,0,0
Fa234,0,0,551,0,0
Fa235,0,0,1,0,0
Fa236,0,0,17,0,0
Fa237,0,0,11,0,0
Fa238,0,0,0,0,0
Fa239,0,0,0,0,0
Fa240,1,0,33,0,0
Fa241,0,0,97,0,0
Fa242,0,0,1,0,0
Fa243,0,0,3,0,0
Fa244,0,0,0,0,0
Fa245,0,0,53,0,0
Fa246,0,0,0,0,0
Fa247,0,0,1,0,0
Fa248,0,0,77,0,0
Fa249,0,0,10,0,0
Fa250,0,0,0,0,0
Fa251,0,0,78,0,0
Fa252,0,0,0,0,0
Fa253,0,0,9,0,0
Fa254,0,0,0,0,0
Fa255,0,0,0,0,0
Fa256,0,0,340,0,0
Fa257,0,0,2,0,0
Fa258,0,0,0,0,0
Fa259,0,0,0,0,0
Fa260,0,0,0,0,0
Fa261,0,0,1,0,0
Fa262,0,0,0,0,0
Fa263,0,0,3,0,0
Fa264,0,0,1,0,0
Fa265,0,0,53,0,0
Fa266,0,0,22,0,0
Fa267,0,0,0,0,0
Fa268,0,0,0,0,0
Fa269,0,0,10,0,0
Fa270,0,0,15,0,0
Fa271,0,0,1,0,0
Fa272,0,0,1,0,0
Fa273,0,0,9,0,0
Fa274,0,0,0,0,0
Fa275,0,0,0,0,0
Fa276,0,0,2,0,0
Fa277,0,0,14,0,0
Fa278,0,0,0,0,0
Fa279,0,0,310,0,0
Fa280,0,0,0,0,0
Fa281,0,0,92,0,1
Fa282,0,0,1,0,0
Fa283,0,0,0,0,0
Fa284,0,0,98,0,0
Fa285,0,0,8,0,0
Fa286,0,0,1,0,0
Fa287,0,0,0,0,0
Fa288,0,0,151,0,0
Fa289,0,0,69,0,0
Fa290,0,0,0,0,0
Fa291,0,0,0,0,0
Fa292,0,0,0,0,0
Fa293,0,0,1,0,28
Fa294,0,0,1,0,0
Fa295,0,0,1,0,0
Fa296,0,0,0,0,0
