"gene_id","235-1_M_265","235-1_N_257","235-1_P_273","235-1_T_281","235_M_217","235_N_209","235_P_225","235_T_233","entrez_id","transcript_id","gene_symbol"
1,0,0,0,0,0,0,0,3.34,"100287102","uc001aaa.3,uc001aab.3,uc010nxq.1","DDX11L1"
2,1.18,20.76,11.3,87.69,15.63,0,20.8,0.97,"653635","uc001aae.4,uc001aah.4,uc009viq.3,uc009vit.3,uc009viu.3","WASH7P"
3,9.71,32.9,29.27,201,23.67,26.04,52.49,67.26,"653635,102466751","uc001aai.1,uc009viv.2,uc009viy.2,uc009viz.2,uc009vjb.1,uc009vje.2,uc009vjf.2,uc010nxs.1,uc031tla.1","WASH7P,MIR6859-1"
4,0,0,0,0,0,0,0,0,"100302278","uc031tlb.1","MIR1302-2"
5,0,0.45,0,1.21,4.85,0,0,2.21,"654835","uc001aak.3","FAM138C"
6,0,0,0,0,0,0,0,0,"79501","uc001aal.1","OR4F5"
7,114.29,84.89,49.58,539.9,86.08,83.06,31.28,81.85,"729737","uc021oeg.2","LOC729737"
8,0,0,0,0,0,0,0,0,NA,"uc031tlc.1,uc031tld.1",NA
9,0,0,0,1.78,0,0,0,0,NA,"uc031tle.1",NA
10,50.76,24.01,5,59.05,13.25,15.46,30.52,34.16,"NA,102466751","uc031tlf.1,uc031tlg.1,uc031tlh.1,uc031tli.1,uc031tlj.1,uc031tlk.1,uc031tll.1,uc031tlm.1,uc031tln.1","NA,MIR6859-1"
11,0,0,0,0,0,0,0,0,NA,"uc031tlo.1",NA
12,2.98,0,0,0.21,0,0,0,0.12,"677784","uc031tlp.1","FAM138D"
13,0,0,0,0,0,0,0.25,0,"81399","uc010nxu.2","OR4F16"
14,0,21.62,15.84,77.44,5.77,20.16,0,11.33,"100132062","uc001aau.3,uc009vjk.3","LOC100132062"
15,0,0,0,0,0,0,0,0,NA,"uc001aar.2",NA
16,0,0,0,0,0,0,0,0,NA,"uc001aaq.2",NA
17,0,0,0,0,0,0,0,0,NA,"uc031tlq.1",NA
18,0,0,0,0,0,0,0,0,NA,"uc031tlr.1",NA
19,0,0,0,0,0,0,0,0,NA,"uc021oej.1",NA
20,0,0,0,0,0,0,0,0,NA,"uc021oek.1",NA
21,0,0,0,0,0,0,0,0,NA,"uc021oel.1",NA
22,0,0,0,0,0,0,0.87,0,"102465432","uc031tls.1","MIR6723"
23,0,0,0,0,0,0,0,0,NA,"uc001abb.3",NA
24,0,0,0,0,0,0,0.25,0,"81399","uc010nxv.2","OR4F16"
25,34.99,65.8,25.83,200.33,22.13,11.73,54.09,21.69,"100133331","uc001abe.4,uc009vjm.3","LOC100133331"
26,0,0,0,0,0,0,0,0,NA,"uc001abi.2",NA
27,0,0,0,0,0,0,0,0,NA,"uc001abj.3",NA
