"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233","833_M_280","833_M_BTK_216","833_N_272","833_N_BTK_208","833_P_288","833_P_BTK_224","833_T_296","833_T_BTK_232","entrez_id","transcript_id","gene_symbol"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100287102","uc001aaa.3,uc001aab.3,uc010nxq.1","DDX11L1"
2,20.36,2.21,7.15,21.52,476.84,0,12.62,4.71,15.73,0,0,925.4,22.54,0,3.75,0,"653635","uc001aae.4,uc001aah.4,uc009viq.3,uc009vit.3,uc009viu.3","WASH7P"
3,45.14,1.02,8.84,47.57,335.66,1.01,34.12,33.5,61.41,0.85,0,2025.28,90.92,0,1.55,0,"653635,102466751","uc001aai.1,uc009viv.2,uc009viy.2,uc009viz.2,uc009vjb.1,uc009vje.2,uc009vjf.2,uc010nxs.1,uc031tla.1","WASH7P,MIR6859-1"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100302278","uc031tlb.1","MIR1302-2"
5,0,0,0,0,39.57,4.84,0,1.26,0,0,0,43.63,2.03,0,0,0,"654835","uc001aak.3","FAM138C"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"79501","uc001aal.1","OR4F5"
7,0,0,0,0,419.84,0,32.94,0.89,2.68,0,0,1157.13,0,0,7.77,0,"729737","uc021oeg.2","LOC729737"
8,0,0,0,0,9.06,0,0,0,0,0,0,87.7,0,0,0,0,NA,"uc031tlc.1,uc031tld.1",NA
9,0,0,2.27,9.05,3.42,0,0,0,0,0,0,10.29,0,0,0,0,NA,"uc031tle.1",NA
10,6.68,3.09,0,4.9,67.19,0.78,32.92,27.12,0,0,0,977.93,24.62,0,0,0,"NA,102466751","uc031tlf.1,uc031tlg.1,uc031tlh.1,uc031tli.1,uc031tlj.1,uc031tlk.1,uc031tll.1,uc031tlm.1,uc031tln.1","NA,MIR6859-1"
