"gene_id","entrez_id","transcript_id","gene_symbol"
1,"100287102","uc001aaa.3,uc001aab.3,uc010nxq.1","DDX11L1"
2,"653635","uc001aae.4,uc001aah.4,uc009viq.3,uc009vit.3,uc009viu.3","WASH7P"
3,"653635,102466751","uc001aai.1,uc009viv.2,uc009viy.2,uc009viz.2,uc009vjb.1,uc009vje.2,uc009vjf.2,uc010nxs.1,uc031tla.1","WASH7P,MIR6859-1"
4,"100302278","uc031tlb.1","MIR1302-2"
5,"654835","uc001aak.3","FAM138C"
6,"79501","uc001aal.1","OR4F5"
7,"729737","uc021oeg.2","LOC729737"
10,"102466751","uc031tlm.1","MIR6859-1"
12,"677784","uc031tlp.1","FAM138D"
13,"81399","uc010nxu.2","OR4F16"
14,"100132062","uc001aau.3,uc009vjk.3","LOC100132062"
22,"102465432","uc031tls.1","MIR6723"
24,"81399","uc010nxv.2","OR4F16"
25,"100133331","uc001abe.4,uc009vjm.3","LOC100133331"
31,"100288069","uc001abo.3","LOC100288069"
32,"400728","uc031tlt.1","FAM87B"
33,"79854","uc010nxx.3","LINC00115"
34,"643837","uc001abp.2,uc009vjn.2,uc009vjo.2,uc021oem.2,uc031pjj.1,uc031pjk.1","LINC01128"
35,"284593","uc001abt.4","FAM41C"
37,"100130417","uc010nxy.1,uc010nxz.1","LOC100130417"
38,"148398","uc001abv.1,uc001abw.1,uc001abx.2,uc031pjl.1,uc031pjm.1,uc031pjn.1,uc031pjo.1,uc031pjp.1,uc031pjq.1,uc031pjr.1,uc031pjs.1,uc031pjt.1,uc031pju.1,uc031pjv.1,uc031pjw.1,uc031pjx.1,uc031pjy.1,uc031pjz.2,uc031pka.1,uc031pkb.1,uc031pkc.1,uc031pkd.1,uc031pke.1,uc031pkf.1,uc031pkg.1,uc031pkh.1,uc031pki.1,uc031pkj.1,uc031pkk.1,uc031pkl.1,uc031pkm.1,uc031pkn.2,uc031pko.1,uc031pkp.1,uc031tlu.1","SAMD11"
39,"26155","uc001aby.4,uc001abz.4,uc009vjq.3,uc009vjr.2,uc031pkq.1","NOC2L"
40,"339451","uc001aca.2,uc001acb.1,uc001acc.2,uc010nya.1,uc010nyb.1","KLHL17"
41,"84069","uc001acd.3,uc001ace.3,uc001acf.3","PLEKHN1"
42,"84808","uc001acg.2,uc001ach.2,uc031tlv.1","PERM1"
43,"57801","uc001aci.2,uc010nyc.1","HES4"
44,"9636","uc001acj.4","ISG15"
47,"375790","uc001ack.2","AGRN"
50,"401934","uc021oen.1","RNF223"
51,"54991","uc001acn.2,uc001acr.2,uc001acs.2,uc001act.2,uc001acu.2,uc010nyd.1","C1orf159"
52,"254099","uc001acv.3","LINC01342"
53,"406984","uc001acw.2","MIR200B"
54,"406983","uc010nye.1","MIR200A"
56,"554210","uc010nyf.1","MIR429"
59,"254173","uc001acy.2,uc001acz.2,uc010nyg.1","TTLL10"
60,"8784","uc001ada.3,uc001adb.3,uc001adc.3,uc001add.3","TNFRSF18"
61,"7293","uc001ade.3,uc001adf.3","TNFRSF4"
62,"51150","uc001adg.3,uc001adh.4,uc001adi.4,uc001adj.1,uc009vjw.3","SDF4"
63,"126792","uc001adk.3","B3GALT6"
64,"388581","uc001adl.2","FAM132A"
65,"118424","uc001adm.5,uc001ado.3,uc001adp.3,uc001adq.3,uc001adr.3","UBE2J2"
66,"6339","uc001adt.1,uc001adu.1,uc001adv.2,uc001adw.2,uc001adx.2","SCNN1D"
67,"116983","uc001ady.2,uc001aea.2,uc001aeb.2,uc001aec.1","ACAP3"
68,"102465434","uc031tlz.1","MIR6726"
69,"126789","uc001aed.3,uc009vjx.3,uc010nyi.2","PUSL1"
70,"54973","uc001aee.2,uc001aef.2,uc001aeg.2,uc001aeh.2,uc001aei.2,uc001aek.2,uc001ael.3,uc001aen.2,uc009vjy.1,uc009vjz.2,uc010nyj.2","CPSF3L"
71,"102465435","uc031tma.1","MIR6727"
72,"80772","uc001aeo.3","CPTP"
73,"83756","uc010nyk.2","TAS1R3"
74,"1855,102466740","uc001aer.4,uc002quu.3,uc009vka.3,uc031tmb.1,uc031tmc.1","DVL1,MIR6808"
75,"54587","uc001aew.4,uc001aex.5,uc001aey.5,uc001aez.4,uc001afa.4,uc031tmd.1","MXRA8"
76,"54998","uc001afb.1,uc001afc.2,uc001afd.2,uc009vkb.1","AURKAIP1"
77,"81669","uc001afg.1,uc001afi.2,uc001afj.3,uc010nym.1,uc021oep.1","CCNL2"
78,"148413","uc001afm.3,uc009vkd.4","LOC148413"
79,"55052","uc001afo.4,uc010nyn.1","MRPL20"
80,"441869","uc001afp.3,uc001afq.3,uc010nyo.2","ANKRD65"
81,"643965","uc010nyp.2","TMEM88B"
82,"64856","uc001afr.3,uc001afs.3","VWA1"
83,"219293","uc001aft.2","ATAD3C"
84,"83858","uc001afv.3,uc001afw.2,uc001afx.3,uc021oeq.1","ATAD3B"
85,"55210","uc001afz.2,uc001aga.2,uc001agb.2","ATAD3A"
87,"339453","uc009vkf.3","TMEM240"
88,"29101","uc001agd.3,uc001age.1,uc009vkg.1","SSU72"
90,"643988","uc021oes.1","C1orf233"
92,"142678","uc001agg.3,uc001agh.3,uc001agi.3,uc001agj.3,uc001agk.3,uc001agl.2,uc001agm.3,uc001agn.3,uc001ago.3,uc009vkh.3,uc010nyq.2","MIB2"
93,"8510","uc001agp.3,uc001agq.3,uc001agr.3,uc009vki.3","MMP23B"
94,"984","uc001ahc.2,uc009vkj.2,uc031tmf.1,uc031tmg.1,uc031tmh.1,uc031tmi.1,uc031tmj.1,uc031tmk.1,uc031tml.1,uc031tmm.1,uc031tmn.1","CDK11B"
95,"728661","uc009vkl.2,uc009vkn.2,uc021oeu.1,uc031tmo.1,uc031tmp.1,uc031tmq.1,uc031tmr.1","SLC35E2B"
96,"8511","uc001ahi.1,uc009vko.1","MMP23A"
97,"728642","uc001ahj.4,uc001ahu.1,uc001ahv.1,uc001ahw.2,uc009vkp.3,uc009vkq.3,uc009vkr.3,uc009vks.3,uc009vkt.1,uc009vku.1,uc009vkv.1,uc010nys.2,uc010nyt.1,uc010nyu.1,uc031tms.1,uc031tmt.1","CDK11A"
99,"9906","uc001ahy.3,uc001aia.2","SLC35E2"
100,"65220","uc001aic.3,uc001aid.4,uc001aie.3,uc009vkx.1,uc010nyv.2","NADK"
101,"2782","uc001aif.4,uc009vky.4,uc031tmu.1","GNB1"
102,"163688","uc001aih.1","CALML6"
103,"339456","uc001aii.2,uc001aij.2","TMEM52"
105,"85452","uc001aim.1,uc001ain.1,uc009vkz.1","CFAP74"
107,"2563","uc001aip.2","GABRD"
108,"5590","uc001aiq.3,uc001air.3,uc001ais.3,uc001ait.3,uc009vlb.3,uc010nyw.2,uc010nyx.2","PRKCZ"
110,"199990","uc001aiv.3,uc001aiw.3,uc001aix.2,uc001aiy.3,uc031pkt.1,uc031pku.1,uc031pkv.1,uc031tmv.1,uc031tmw.1","C1orf86"
112,"6497","uc001aja.4","SKI"
113,"79906","uc001ajb.1,uc001ajd.1,uc009vld.3","MORN1"
114,"100129534","uc001ajc.4","LOC100129534"
115,"79906","uc010nyy.2","MORN1"
116,"11079","uc001aje.2,uc001ajf.2","RER1"
117,"5192","uc001ajg.3,uc001ajh.3","PEX10"
118,"9651","uc001aji.1,uc001ajj.1,uc001ajk.1,uc001ajl.1,uc009vle.1,uc010nyz.2","PLCH2"
119,"55229","uc001ajm.1,uc010nza.1","PANK4"
120,"388585","uc001ajn.3","HES5"
121,"115110","uc001ajo.2,uc001ajp.2,uc001ajq.2","LOC115110"
123,"8764","uc001ajt.1","TNFRSF14"
124,"8764","uc001ajr.3,uc009vlf.1,uc010nzc.1","TNFRSF14"
125,"127281","uc001aju.3,uc001ajv.2,uc001ajw.2,uc001ajx.2,uc010nzd.2,uc010nze.2,uc010nzf.2,uc021oew.1,uc021oex.1","FAM213B"
126,"79258","uc001ajy.2,uc009vlg.1","MMEL1"
127,"100287898","uc021oey.1","TTC34"
131,"140625","uc001ajz.3","ACTRT2"
132,"440556","uc001aka.3","LINC00982"
133,"440556","uc010nzg.1","LINC00982"
134,"63976","uc001akc.3,uc001ake.3,uc001akf.3,uc009vlh.3","PRDM16"
135,"100422968","uc021oez.1","MIR4251"
136,"27237","uc001akg.4,uc001aki.3,uc001akj.3,uc009vli.1,uc010nzh.2","ARHGEF16"
137,"1953","uc001akk.3,uc001akl.3","MEGF6"
138,"693135","uc021ofa.1","MIR551A"
139,"127262","uc001akm.3,uc009vlj.3,uc031pkw.1","TPRG1L"
140,"49856","uc001akn.3,uc001ako.3,uc010nzi.3","WRAP73"
141,"7161","uc001akp.3,uc001akr.3,uc001aks.3,uc009vlk.2,uc009vll.3,uc010nzj.2,uc010nzk.2,uc010nzl.2,uc021ofb.1,uc021ofc.1,uc021ofd.1,uc021ofe.1,uc021off.1,uc021ofg.1,uc021ofh.1,uc021ofi.1","TP73"
143,"57212","uc001akt.4,uc009vlm.3,uc021ofj.1,uc021ofk.1,uc021ofl.1","TP73-AS1"
146,"148870","uc001akv.2","CCDC27"
147,"388588","uc001akw.5,uc031pkx.2","SMIM1"
148,"57470","uc001akx.1","LRRC47"
149,"9731","uc001aky.2,uc001akz.3,uc010nzm.1,uc031pky.1","CEP104"
150,"1677","uc001ala.2,uc001alb.4,uc001alc.4,uc001ald.4,uc001ale.4,uc009vln.2,uc009vlo.2,uc009vlp.4,uc009vlq.4,uc009vlr.4,uc010nzn.3","DFFB"
151,"339448","uc001alf.3,uc009vls.3","C1orf174"
152,"100133612","uc001alg.3,uc001alh.4,uc010nzo.2","LINC01134"
153,"728716","uc001ali.2","LINC01346"
156,"284661","uc001alj.2","LOC284661"
157,"55966","uc001alm.1,uc001aln.3","AJAP1"
164,"100616489","uc021ofm.1","MIR4417"
168,"100616421","uc021ofn.1","MIR4689"
169,"261734","uc001alq.2,uc001alr.1,uc001als.3,uc001alt.4,uc009vlt.3,uc009vlu.2","NPHP4"
170,"8514","uc001alu.3,uc001alv.2,uc001alw.2,uc001alx.2,uc001aly.2,uc009vlv.2,uc009vlw.2","KCNAB2"
171,"26038","uc001alz.2,uc001ama.2,uc001amb.2,uc001amc.1","CHD5"
172,"6146","uc001amd.3,uc001ame.3","RPL22"
173,"388591","uc001amf.1,uc001amg.3,uc001amh.3,uc010nzp.1","RNF207"
174,"23463","uc001amk.3,uc001aml.3","ICMT"
175,"148645","uc031tnm.1","LINC00337"
176,"390992","uc009vly.2","HES3"
177,"387509","uc001amp.2","GPR153"
178,"11332","uc001amq.3,uc001amr.3,uc001ams.3,uc001amt.3,uc001amu.3","ACOT7"
180,"54626","uc001amw.4,uc001amx.3","HES2"
181,"83715","uc001amy.3,uc001amz.3","ESPN"
182,"100422975","uc021ofo.1","MIR4252"
183,"8718","uc001ana.3,uc001anb.3,uc001anc.3,uc001and.3,uc001ane.3,uc001anf.3,uc001ang.3,uc001anh.3,uc001ani.1,uc009vlz.3","TNFRSF25"
184,"57449","uc001anj.1,uc001ank.1,uc001anl.2,uc001anm.2,uc001ann.1,uc001ano.1,uc001anp.2,uc001anq.2,uc009vma.1,uc009vmb.2,uc010nzr.1,uc031plb.1","PLEKHG5"
185,"79707","uc001ans.3,uc010nzs.2","NOL9"
186,"80835","uc001ant.3,uc001anu.3,uc021ofp.1","TAS1R1"
187,"3104","uc001anx.4,uc001any.2,uc009vmc.3,uc009vmd.3","ZBTB48"
188,"9903","uc001anz.1,uc001aoa.3,uc009vme.3","KLHL21"
