gene_id,235-1_P_273,235-1_M_265,235-1_N_257,235-1_T_281,235_P_225,235_M_217,235_N_209,235_T_233
1,0,0,0,0,0,0,0,10.47
2,15.55,1.88,30.64,84.76,15.48,23.98,0,0
3,50.53,23.52,29.65,356.66,53.85,72.1,25.9,74.47
4,0,0,0,0,0,0,0,0
5,0,0,0.05,1,0.36,5.01,0,1.05
6,0,0,0,0,0,0,0,0
7,55.76,128,95.22,758.58,35.08,124.05,94.44,83.43
8,0,0,0,0,0,0,0,0
9,0,0,0,1.72,0,0,0,0
10,4.01,102.94,17.32,76.79,26.79,18.45,13.57,38.22
11,0,0,0,0,0,0,0,0
12,0,2.04,0,0.29,0,0,0,0.14
13,0,0,0,0,0.25,0,0,0
14,15.68,0,24.65,77.77,0,20.14,20.74,9.81
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0.79,0.37,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0.25,0,0,0
25,40.03,41.3,80.04,214.36,69.7,121.57,12,27.5
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,6.52,0,7.87,5.87,0,0,47.85,0
31,15.97,92.74,42.83,43.61,61.3,6.28,25.65,38.92
32,1,6,0,13,14.92,0,0,2
33,10,0,0,28.98,1,1.75,0,8.51
34,14,6,23,235.65,11.7,1,6,90.08
35,32.68,0,4.3,3.85,10.89,0,0,26.49
36,1.88,3.96,0,5.45,4.24,1.14,0.83,1
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,39.01,22.93,51.64,43.53,252.91,27.31,3.76,28.44
40,69,0,0,1,6.99,0,7,1
41,0,4,0,0,0,0,0,0
42,0,0,0,0,0,0,0,2
43,0,0,0,0,0,0,0,0
44,0,10,0,33,2,0,2,0
45,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
47,18.91,1,0,7,0,0,2,0
48,0,0,2.38,1.98,3.85,1,0,1
49,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
51,7,0,0,51.01,4,26.71,0.98,3
52,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0
58,0,6.92,2,17.89,6.94,0.93,0,1
59,0,0,0,0,0,0,0,0
60,0,0,0,0,4,0,3,0
61,0,0,0,30,0,0,0,24.03
62,12,47.01,12,40,144.46,15.99,60,123.45
63,1,0,1,24.94,0,0,0,0
64,0,0,0,0,0,0,0,0
65,41,9,1,9,0,3,0.98,3
66,0,15,0,0,0,0,24,0
67,5.01,3,0,1,43,0,0,1
68,0,0,0,0,0,0,0,0
69,0,1,56,4,0,0,1,1
70,223.32,104.71,76.08,219.86,179.88,89.76,101.66,122.49
71,0,0,0,0,0,0,0,0
72,1,8,21,7,7,0,0,20.22
73,0,0,0,11,1.98,0,0,0
74,0,21,18,1,0,0,0,0
75,0,0,0,0,0,0,0,0
76,0,8,1,4,17.84,0,0,16
77,9,34,50,89.86,15.99,32.07,0,4
78,2,14,0,4,0,0,0,11.01
79,21,64,16.7,14.68,24.17,189.13,10.01,15.03
80,1,0,0,0,0.7,0,0,0
81,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0
83,2.98,28.66,8.6,67.09,16212.55,22.89,11.07,23.17
84,11.38,4,1.99,16,1.04,3.04,0,1
85,0,0,0,0,0,9.71,0,0
86,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0
88,132.52,24.35,20,149.47,46.41,54.29,4,34.73
89,0,1,0,0,0,0,41,0
90,0,0,0,0,0,0,0,0
91,1.02,0,0,18.44,2.21,2.17,0.54,8.34
92,4,4,0,4,12.33,2,0,1
93,0,0,0,0,0,0,0,0
94,74.99,80.7,3.71,20.74,27.01,13.52,7.97,24.06
95,65.25,92.33,31.98,261.7,145.94,139.76,81.29,65.02
96,0,0,0,0,0,0,0,0
97,74.17,185.1,60.5,297.13,587.73,256.67,30.02,141.97
98,3.39,4.43,1.85,18.86,9.6,17.45,10.32,1.81
99,17.78,98.08,21.69,109.62,924.35,326.2,31.01,46.69
100,94.01,70,31.79,5,33.63,5,17,0
101,19,34.04,13,135.95,45,43,49,30.01
102,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0
105,2.71,27.03,37.46,73.43,53.18,9.82,11.68,21.99
106,3.41,3,2.83,23.94,30.42,8.31,1.96,3.24
107,0,0,0,0,0,0,0,0
108,0,3,1.95,10.77,0,0,0,1.48
109,4,0,0,24.08,1.94,14.01,1,0.97
110,3.49,27.37,28.01,88.77,84.67,26.81,13.15,19.63
111,0.82,1,5.74,6.42,1,6.55,1.13,1
112,10,108.98,18.91,174.96,15.94,11.21,18,40.61
113,0,0,1,0,1.11,0,0,0
114,0,0,11,8,0,0,0,0
115,0,0,0,0,1.89,0,0,0
116,0,106.62,2.16,11,51,1,0,0
117,31,0,4.84,11,0,0,0,0
118,2.5,6.4,1,16,0.5,0,0,2.09
119,1,30.31,53.05,75.5,35.06,18.51,44,73.5
120,0,0,0,0,0,0,0,0
121,0,5,0.5,0.5,0,0,8.5,0.69
122,1.69,2.59,3.22,22.76,0,2.8,64.64,23.08
123,6.55,2.65,81.02,119.55,43.81,3.15,10.07,51.46
124,38.88,11.93,42.26,56.28,54.43,10,10.25,41.06
125,0,4.5,0,7.25,0.5,0.5,0,11.39
126,0,0,0,0.5,0,0,0,1.5
127,0,0,0,1.5,0,0,0,0
128,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0
134,0,0,4,0,0,0,0,0
135,0,0,0,0,0,0,0,0
136,0,0,6,0,0,0,0,0
137,27,0,0,37.91,6,0,9.01,8.07
138,0,0,0,0,0,0,0,0
139,10,5.98,21,71,6.88,4.01,0,58
140,20.61,67.31,17.52,32.04,92,18.05,57,53.04
141,10.07,0,0,2,0,2,0,0
142,0,0,0,0,0,0,0,0
143,4.28,10.99,29.94,94.83,27.46,17.75,16.23,4.86
144,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,5
147,0,0,0,0,0,0,0,0
148,0,1.06,0,1.99,2.87,1,14,4.02
149,0,38.62,93.3,76.3,92.18,13.82,64.39,14.71
150,30.03,91.16,63.19,96.54,151.98,56.44,14.1,67.69
151,6.74,43.62,44.98,22.67,56.92,19.11,28,9.95
152,0.64,0.99,3.8,2.79,17.95,1.15,5,3.51
153,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0
156,0,0,0,3,8.18,0,0,0
157,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0
163,0,0,0,0,0,1.02,0,1
164,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0
169,6.79,7.74,7,10,121.28,12,39.79,4.06
170,12.22,355.59,42.99,390.12,463.28,302.68,45.21,222.53
171,0,0,0,0,0,0,0,0
172,118.69,12.99,128,182.11,178.55,89.9,80.3,74.96
173,9.07,57.89,5.92,32.91,28.05,14.32,6.36,12.25
174,8.84,5.2,10.83,20.81,13.28,0.75,2.96,13.4
175,0,0,23.42,0.43,3.63,0.92,2.82,0
176,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0
180,0,8.23,10.28,26.39,7.17,14.93,2.94,12.96
