"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233"
1,0,0,0,0,0,0,0,0
2,24.79,1.07,10.59,49.41,356.04,0,12.75,4.56
3,78.42,1.04,6.28,78.41,519.53,1.02,41.15,50.25
4,0,0,0,0,0,0,0,0
5,0,0,0,0,27.15,4.75,0,1.28
6,0,0,0,0,0,0,0,0
7,0,1.04,0,0,664.4,0,47.02,0.72
8,0,0,0,0,9.13,0,0,0
9,1.53,0.97,6.26,11.87,0,0,0,4.15
10,7.89,3.9,0,17.26,78.19,1.92,53.16,56.65
11,0,0,0,0,0,0,0,0
12,0,0,0.27,0,0,0.74,0,0
13,0,0,0,0,0,0,0,0
14,25.83,2.37,0,0,12.05,0,16.44,10.73
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0.5,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,17.62,26.72,3.29,46.02,517.06,0,8.08,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,34.53,0,0,73.62,439.88,19.35,0,15.57
31,51.85,0,72.19,4.3,1459.31,141.3,39.92,98.32
32,0,0,0,0,76.45,0,6.79,13.9
33,0,0,0,0,0,0,15.01,0
34,1,9,3,3,262.67,65,62.7,2
35,0,0,2,0,16,0,0,0
36,0,0,0,0,36.74,1.01,8.42,0
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,17.9,0,0
39,80.72,19.48,178.05,20.79,521.67,155.36,27.33,14.68
40,0,0,0,0,60,0,0,0
41,0,0,0,0,171,0,0,1
42,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
44,12.22,8,36,2,12,11,1,1
45,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
47,0,33,0,0,64,0,0,0
48,0,0,0,8.42,6.38,0,1,0
49,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
