"gene_id","833_M_280","833_M_BTK_216","833_N_272","833_P_288","833_P_BTK_224","833_T_296","833_T_BTK_232"
1,0,0,0,0,0,0,0
2,20.86,0,0,25.74,0,7.52,0
3,118.23,0.82,0,116.28,2,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,12.12,1.03,1,0,0,8.72,0
8,0,0,0,0,0,0,0
9,16.27,0,0,0,0,0,0
10,0,0,1,25.49,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0.98,0,0,0,12.25,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,2.41,0.98,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,1,0.54,0,25.88,0,0,0
31,14.96,0,2,279.55,1,0,0
32,24,1,0,0,0,0,0
33,0,0,1,0,0,0,0
34,1,0,0,4,0,163,0
35,0,0,0,0,0,0,0
36,0.99,0,5.59,6.56,0,0,0
37,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
39,18.84,1.03,1,160.28,1,8,1.95
40,0,0,0,0,1,0,0
41,0,0,0,0,2,0,0
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
44,7,2,1,12,0,0,0
45,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
47,2,0,0,0,0,1,0
48,0,0,0,0,0,0.87,0
49,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0
58,2.95,0,0,34.79,0,0,0.6
59,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
62,18,2,0,86.97,1,222,0
63,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
65,0,1,0,3.03,0,1,0
66,0,0,0,0,0,0,0
67,0,0,0,1,0,1,0
68,0,0,0,0,0,0,0
69,3,0,0,4.01,0,0,0
70,91.81,3.47,2.84,204.75,2,101.99,2
71,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0
74,60,0,0,66,0,0,0
75,0,0,0,0,0,0,0
76,14,4,2,14,1,10,0
77,5,5,2,14,4,56,0
78,1,0,1,3,0,3,0
79,34,9,1,111.37,0,51,0
80,0,0,0,3.58,0,0,0
81,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0
83,12.67,1,0,39.28,1.01,1.07,0
84,2,0,0,1.35,0,0,0
85,0,0,0,1,0,0,0
86,0,0,0,0,0.01,0,0
87,0,0,0,0,0,0,0
88,59.01,8,2,36.25,1.14,7.02,0
89,8,0,0,0,0,0,0
90,0,0,0,0,0,0,0
91,0,1.9,0,3.2,0,0,0
92,0,0,0,2,0,0,0
93,0,0,0,0,0,0,0
94,105.65,2,2.94,19.69,2,16.92,0
95,1.01,7.83,0,73.59,0,3.99,0
96,0,0,0,0,0,0,0
97,85.36,11.63,6.58,163.75,1,153.9,0
98,0.98,0,0,3.61,1,0,0
99,19.4,12.18,4,113.36,2,0,0
100,6,0,50,18,0,0,0
101,3,1,4.99,6.01,0,1,0
102,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0
104,0,133,0,0,0,0,0
105,3.45,4,1,100.86,2.95,3.99,0
106,1.72,3.94,0,8.15,0,0,0
107,0,0,0,0,0,0,0
108,3,0,1,0,0,0,0
109,0,0,1,1.75,0,1.12,0
110,8.09,2.03,3.07,47.61,1,3.77,0
111,0,0,0,3.18,0,0,0
112,4.04,0,0,16,61,121,0
113,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0
116,9.06,10,0,58.86,0.96,4,0
117,1,2,0,46.14,0,0,0
118,0,0,0,0,0,0,0.5
119,0,0,0,18.5,0,0.5,0
120,0,0,0,0,0,0,0
121,0,0,0,0.1,0,0,0
122,0.64,0,6.5,9.51,0,0,0
123,0,2,0.5,1.48,0,0.58,0
124,1.36,0,0,9.51,0,0.42,0
125,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0
136,0,1,0,0,0,0,0
137,0,1,0,1,0,0,0
138,0,0,0,0,0,0,0
139,3,0,0,6,2,0,0
140,4.16,3,0.99,11.5,0,6,0
141,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0
143,8.65,0,0,25.18,2,3.95,0
144,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0
147,0,0,1,0,0,0,0
148,3.01,0,0,5.28,0,2,0
149,17.06,9.46,7.64,209.22,2.71,5.42,0
150,17.61,7.13,10.05,320.14,1.46,6.08,0
151,10.81,0.72,0,45.87,1,0.99,0
152,0.98,1.18,0,10.64,0,1,0
153,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0
