gene_id,235-1_P_273,235-1_M_265,235-1_N_257,235-1_T_281,235_P_225,235_M_217,235_N_209,235_T_233
1,0,0,0,0,0,0,0,7.23
2,8.12,1.19,6.53,22.08,3.89,20.38,0,0
3,88.57,18.11,10.42,144.36,35.29,145.56,35.49,74.4
4,0,0,0,0,0,0,0,0
5,0,0,0.02,0.61,0.19,7.34,0,1
6,0,0,0,0,0,0,0,0
7,12.69,24.04,8.04,81.03,2.94,31.59,22.7,14.02
8,0,0,0,0,0,0,0,0
9,0,0,0,1.45,0,0,0,0
10,7.41,142.23,10.36,58.19,16.77,34.41,18.98,44.92
11,0,0,0,0,0,0,0,0
12,0,2.22,0,0.18,0,0,0,0.14
13,0,0,0,0,0.17,0,0,0
14,4.5,0,2.62,10.46,0,6.49,6.28,2.08
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0.17,0,0,0
25,11.8,10.05,8.72,29.52,7.59,39.9,3.71,5.97
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,16.7,0,7.09,6.83,0,0,123.84,0
31,16.58,78.77,16.17,20.99,25.06,7.28,27.67,29.57
32,0.69,3.42,0,4.2,3.96,0,0,1.02
33,10.9,0,0,14.62,0.43,2.13,0,6.78
34,2.65,1.89,2.01,29.42,0.96,0.22,2.74,17.01
35,26.29,0,1.26,1.44,3.38,0,0,15.63
36,0.8,1.38,0,1.08,0.67,0.54,0.37,0.31
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,14.18,15.84,15.36,20.36,45.7,10.25,2.33,14.48
40,148.09,0,0,0.98,1.6,0,9.37,1.55
41,0,1.8,0,0,0,0,0,0
42,0,0,0,0,0,0,0,1.76
43,0,0,0,0,0,0,0,0
44,0,21.39,0,39.76,2.36,0,5.36,0
45,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
47,3.18,0.14,0,0.55,0,0,0.36,0
48,0,0,1.36,1.45,3.53,1.77,0,1.88
49,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
51,4.1,0,0,14.01,0.83,16.87,0.65,1.29
52,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0
58,0,2.06,0.27,3.02,0.93,0.38,0,0.27
59,0,0,0,0,0,0,0,0
60,0,0,0,0,2.31,0,4.79,0
61,0,0,0,11,0,0,0,23.69
62,7.27,24.06,2.37,10.68,35.7,11.86,41.53,55.26
63,0.46,0,0.17,5.42,0,0,0,0
64,0,0,0,0,0,0,0,0
65,23.8,4.34,0.22,2.49,0,1.96,0.64,1.29
66,0,5.77,0,0,0,0,13.04,0
67,1.69,1.47,0,0.11,7.81,0,0,0.51
68,0,0,0,0,0,0,0,0
69,0,0.57,14.53,1.3,0,0,1.21,0.86
70,123.8,50.08,15.77,65.18,36.58,55.91,72.58,54.32
71,0,0,0,0,0,0,0,0
72,0.61,3.98,4.68,1.98,1.61,0,0,9.01
73,0,0,0,2.63,0.38,0,0,0
74,0,4.95,3.35,0.28,0,0,0,0
75,0,0,0,0,0,0,0,0
76,0,12.09,0.56,2.85,11.39,0,0,18.07
77,3.93,12.29,8.36,18.51,2.52,16.82,0,1.22
78,1.57,9.02,0,1.46,0,0,0,6.32
79,46.77,119,7.77,8.73,24.33,308.83,21.2,14.12
80,0.84,0,0,0,0.23,0,0,0
81,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0
83,0.98,7.76,1.05,10.33,1978.68,8.41,3.83,5.62
84,9.23,1.9,0.97,3.65,0.28,2.36,0,1.45
85,0,0,0,0,0,6.14,0,0
86,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0
88,104.17,16.81,4.96,53.65,10.89,31.7,3.9,12.39
89,0,9.42,0,0,0,0,460.5,0
90,0,0,0,0,0,0,0,0
91,1.47,0,0,12.26,1.3,3.49,0.8,8.77
92,2.01,1.28,0,0.76,1.9,0.98,0,2.27
93,0,0,0,0,0,0,0,0
94,46.62,35.32,1.6,6.23,6.82,9.38,7.56,9.22
95,22.01,18.17,3.17,46.54,16.18,54.47,30.06,17.8
96,0,0,0,0,0,0,0,0
97,49.96,95.09,16.43,69.16,98.81,205.31,13.53,72.69
98,2.56,2.73,0.51,6.61,2.78,14.68,8.11,1
99,3.5,21.63,2.32,16.4,68.41,72.56,9.04,8.85
100,54.99,48.18,4.76,0.93,7.15,3.42,12.58,0
101,7.64,11.27,2.03,26.14,6.97,20.33,21.48,9.29
102,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0
105,1.31,12.13,8.01,17.1,10.72,4.98,7.15,8.39
106,2.35,1.7,0.72,7.69,8.02,6.4,1.41,1.64
107,0,0,0,0,0,0,0,0
108,0,1.64,0.52,3.02,0,0,0,0.73
109,2.56,0,0,7.18,0.47,10.01,0.67,0.46
110,1.24,8.04,4,18.78,12.23,10.88,5.03,5.51
111,0.57,0.57,1.46,2.08,0.27,5.08,0.82,0.51
112,2.18,19.6,1.53,17.9,1.28,2.73,4.14,6.53
113,0,0,0.39,0,0.32,0,0,0
114,0,0,2.38,2.2,0,0,0,0
115,0,0,0,0,0.67,0,0,0
116,0,36.4,0.33,2.12,7.82,0.46,0,0
117,20.61,0,1.18,3.42,0,0,0,0
118,0.8,1.36,0.14,2.28,0.05,0,0,0.35
119,0.52,12.31,9.65,17.42,6.52,10.22,22.82,26.71
120,0,0,0,0,0,0,0,0
121,0,2.47,0.11,0.13,0,0,5.12,0.31
122,1.13,1.42,0.79,7.09,0,2.09,45.24,11.34
123,1.85,0.62,8.46,15.81,4.57,1,3,10.71
124,45.66,20.71,29.69,26.72,31.36,21.79,8.69,24.81
125,0,1.88,0,1.65,0.1,0.28,0,4.08
126,0,0,0,0.1,0,0,0,0.52
127,0,0,0,0.54,0,0,0,0
128,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0
134,0,0,0.21,0,0,0,0,0
135,0,0,0,0,0,0,0,0
136,0,0,2.21,0,0,0,0,0
137,5.16,0,0,2.95,0.42,0,1.82,1.14
138,0,0,0,0,0,0,0,0
139,5.89,2.9,4.55,18.5,1.52,2.64,0,23.12
140,6.22,29.58,1.68,5.85,10.2,6.82,34.64,26.01
141,2.5,0,0,0.28,0,0.59,0,0
142,0,0,0,0,0,0,0,0
143,1.01,1.81,2.23,10.02,2.02,6.44,4.06,0.96
144,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,2.25
147,0,0,0,0,0,0,0,0
148,0,0.43,0,0.46,0.53,0.55,7.24,1.46
149,0,10.9,24.55,6.98,11.81,3.06,29.31,2.24
150,12.37,30.82,9.71,19.52,23.4,26.07,6.16,25.9
151,3.52,27.88,13.59,7.75,16.82,16.23,23.48,5.03
152,0.92,1.15,1.95,1.84,6.19,1.82,6.61,3.5
153,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0
156,0,0,0,0.9,2.01,0,0,0
157,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0
163,0,0,0,0,0,2.17,0,1.38
164,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0
