"gene_id","833_M_280","833_M_BTK_216","833_N_272","833_N_BTK_208","833_P_288","833_P_BTK_224","833_T_296","833_T_BTK_232"
1,0,0,0,3.33,0,0,0,0
2,10.17,0,0,23.28,5.67,0,7.27,0
3,139.16,0.95,0,47.19,57.99,34.02,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,2.19,0,0,0,0
6,0,0,0,0,0,0,0,0
7,2.45,0.67,1.66,16.44,0,0,2.53,0
8,0,0,0,0.32,0,0,0,0
9,25.38,0,0,0.66,0,0,0,0
10,0,0,6.56,60.34,10.27,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,1.8,0,0,0,0
13,0,0,0,1.08,0,0,0,0
14,0.25,0,0,0.89,0,33.28,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,1.08,0,0,0,0
25,0,0,0,40.18,0.22,2.75,0,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,2.14,3.75,0,585.96,20.07,0,0,0
31,13.46,0,14.84,116.67,89.91,9.72,0,0
32,14.56,1.97,0,2.83,0,0,0,0
33,0,0,7.78,7.22,0,0,0,0
34,0.17,0,0,1.45,0.6,0,73.17,0
35,0,0,0,5.09,0,0,0,0
36,0.37,0,17.21,1.36,0.87,0,0,0
37,0,0,0,0,0,0,0,0
38,0,0,0,0.62,0,0,0,0
39,7.35,0.87,2.15,20.54,25.54,16.29,12.08,43.24
40,0,0,0,5.22,0,6.3,0,0
41,0,0,0,0.02,0,10.87,0,0
42,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
44,15.45,14.44,18.17,0.27,9.64,0,0,0
45,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
47,0.3,0,0,1.69,0,0,0.22,0
